 format: day,hour,forecast,value  location:60_127 Start : 20250701 
 17,1400,+9,26.000000 
 17,1700,+6,24.000000 
 17,1700,+7,24.000000 
 17,1700,+8,25.000000 
 17,1700,+9,26.000000 
 17,2000,+6,25.000000 
 17,2000,+7,25.000000 
 17,2000,+8,26.000000 
 17,2300,+6,25.000000 
 17,2300,+7,25.000000 
 17,2300,+8,26.000000 
 Start : 20250718 
 18,0200,+6,25.000000 
 18,0200,+7,25.000000 
 18,0200,+8,26.000000 
 18,0500,+6,25.000000 
 18,0500,+7,25.000000 
 18,0500,+8,26.000000 
 18,0800,+6,25.000000 
 18,0800,+7,25.000000 
 18,0800,+8,26.000000 
 18,0800,+9,25.000000 
 18,1100,+6,25.000000 
 18,1100,+7,25.000000 
 18,1100,+8,26.000000 
 18,1100,+9,25.000000 
 18,1400,+6,25.000000 
 18,1400,+7,25.000000 
 18,1400,+8,26.000000 
 18,1400,+9,25.000000 
 18,1700,+6,25.000000 
 18,1700,+7,25.000000 
 18,1700,+8,26.000000 
 18,1700,+9,25.000000 
 18,2000,+6,24.000000 
 18,2000,+7,26.000000 
 18,2000,+8,25.000000 
 18,2300,+6,24.000000 
 18,2300,+7,26.000000 
 18,2300,+8,25.000000 
 Start : 20250719 
 19,0200,+6,24.000000 
 19,0200,+7,26.000000 
 19,0200,+8,25.000000 
 19,0500,+6,24.000000 
 19,0500,+7,26.000000 
 19,0500,+8,25.000000 
 19,0800,+6,24.000000 
 19,0800,+7,26.000000 
 19,0800,+8,25.000000 
 19,0800,+9,25.000000 
 19,1100,+6,24.000000 
 19,1100,+7,26.000000 
 19,1100,+8,25.000000 
 19,1100,+9,25.000000 
 19,1400,+6,24.000000 
 19,1400,+7,26.000000 
 19,1400,+8,25.000000 
 19,1400,+9,25.000000 
 19,1700,+6,24.000000 
 19,1700,+7,26.000000 
 19,1700,+8,25.000000 
 19,1700,+9,25.000000 
 19,2000,+6,26.000000 
 19,2000,+7,25.000000 
 19,2000,+8,26.000000 
 19,2300,+6,26.000000 
 19,2300,+7,25.000000 
 19,2300,+8,26.000000 
 Start : 20250720 
 20,0200,+6,26.000000 
 20,0200,+7,25.000000 
 20,0200,+8,26.000000 
 20,0500,+6,26.000000 
 20,0500,+7,25.000000 
 20,0500,+8,26.000000 
 20,0800,+6,26.000000 
 20,0800,+7,25.000000 
 20,0800,+8,25.000000 
 20,0800,+9,25.000000 
 20,1100,+6,26.000000 
 20,1100,+7,25.000000 
 20,1100,+8,25.000000 
 20,1100,+9,25.000000 
 20,1400,+6,26.000000 
 20,1400,+7,25.000000 
 20,1400,+8,25.000000 
 20,1400,+9,25.000000 
 20,1700,+6,26.000000 
 20,1700,+7,25.000000 
 20,1700,+8,25.000000 
 20,1700,+9,25.000000 
 20,2000,+6,26.000000 
 20,2000,+7,25.000000 
 20,2000,+8,25.000000 
 20,2300,+6,26.000000 
 20,2300,+7,25.000000 
 20,2300,+8,25.000000 
 Start : 20250721 
 21,0200,+6,26.000000 
 21,0200,+7,25.000000 
 21,0200,+8,25.000000 
 21,0500,+6,26.000000 
 21,0500,+7,25.000000 
 21,0500,+8,25.000000 
 21,0800,+6,26.000000 
 21,0800,+7,25.000000 
 21,0800,+8,25.000000 
 21,0800,+9,25.000000 
 21,1100,+6,26.000000 
 21,1100,+7,25.000000 
 21,1100,+8,25.000000 
 21,1100,+9,25.000000 
 21,1400,+6,26.000000 
 21,1400,+7,25.000000 
 21,1400,+8,25.000000 
 21,1400,+9,25.000000 
 21,1700,+6,26.000000 
 21,1700,+7,25.000000 
 21,1700,+8,25.000000 
 21,1700,+9,25.000000 
 21,2000,+6,25.000000 
 21,2000,+7,25.000000 
 21,2000,+8,25.000000 
 21,2300,+6,25.000000 
 21,2300,+7,25.000000 
 21,2300,+8,25.000000 
 Start : 20250722 
 22,0200,+6,25.000000 
 22,0200,+7,25.000000 
 22,0200,+8,25.000000 
 22,0500,+6,25.000000 
 22,0500,+7,25.000000 
 22,0500,+8,25.000000 
 22,0800,+6,25.000000 
 22,0800,+7,25.000000 
 22,0800,+8,26.000000 
 22,0800,+9,27.000000 
 22,1100,+6,25.000000 
 22,1100,+7,25.000000 
 22,1100,+8,26.000000 
 22,1100,+9,27.000000 
 22,1400,+6,25.000000 
